Product_URL,Brand,Description,Id_Product,URL_image,Category_by_gender,Discount Price (in Rs.),Original Price (in Rs.),Color
https://www.ajio.com/hubberholme-mandarin-collar-shirt-with-patch-pocket/p/460562339_white,hubberholme,Mandarin Collar Shirt with Patch Pocket,4.61E+11,https://assets.ajio.com/medias/sys_master/root/20210825/HKWF/612548b3aeb269a2687c5036/-286Wx359H-460562339-white-MODEL.jpg,Men,650,"1,299",white
https://www.ajio.com/dnmx-mid-rise-skinny-jeans/p/441124650_black,dnmx,Mid-Rise Skinny Jeans,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20210831/dXtp/612d2b047cdb8cb8240d70de/-286Wx359H-441124650-black-MODEL.jpg,Men,899,"1,499",black
https://www.ajio.com/the-indian-garage-co-heavily-washed-slim-fit-jeans/p/460733320_blue,the-indian-garage-co,Heavily Washed Slim Fit Jeans,4.61E+11,https://assets.ajio.com/medias/sys_master/root/20210316/pjGp/6050cbfb7cdb8c1f1464ee4b/-286Wx359H-460733320-blue-MODEL.jpg,Men,660,"1,999",blue
https://www.ajio.com/nike-flat-front-shorts-with-elasticated-waist/p/460825158_blue,nike,Flat-Front Shorts with Elasticated Waist,4.61E+11,https://assets.ajio.com/medias/sys_master/root/20220216/SA0q/620c0290aeb26921af9a347a/-286Wx359H-460825158-blue-MODEL.jpg,Men,896,995,blue
https://www.ajio.com/dnmx-knitted-crew-neck-pullover/p/441125578_green,dnmx,Knitted Crew-Neck Pullover,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20210824/BzP7/612406b17cdb8cb824030aff/-286Wx359H-441125578-green-MODEL.jpg,Men,624,"1,299",green
https://www.ajio.com/levis-mid-wash-slim-fit-jeans/p/469084061_grey,levis,Mid-Wash Slim Fit Jeans,4.69E+11,https://assets.ajio.com/medias/sys_master/root/20220413/BWLJ/6255dbccf997dd03e25a0569/-286Wx359H-469084061-grey-MODEL.jpg,Men,"1,305","2,899",grey
https://www.ajio.com/john-players-slim-fit-flat-front-trousers/p/441130007_jetblack,john-players,Slim Fit Flat-Front Trousers,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20211123/zDNQ/619bf417aeb2690110d0bae6/-286Wx359H-441130007-jetblack-MODEL.jpg,Men,779,"1,299",jetblack
https://www.ajio.com/fort-collins-track-pants-with-contrast-piping/p/469133584_black,fort-collins,Track Pants with Contrast Piping,4.69E+11,https://assets.ajio.com/medias/sys_master/root/20220401/8zSU/6246f1cbaeb26921af06b53f/-286Wx359H-469133584-black-MODEL.jpg,Men,423,799,black
https://www.ajio.com/performax-typographic-print-crew-neck-t-shirt/p/441110971_red,performax,Typographic Print Crew-Neck T-shirt,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20210312/hsl8/604b218b7cdb8c1f145fd6d8/-286Wx359H-441110971-red-MODEL.jpg,Men,280,699,red
https://www.ajio.com/netplay-tropical-print-city-shorts/p/441124502_mediumblue,netplay,Tropical Print City Shorts,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20211228/e0ph/61cb2ca8aeb2690110201450/-286Wx359H-441124502-mediumblue-MODEL.jpg,Men,674,899,mediumblue
https://www.ajio.com/the-indian-garage-co-mid-wash-distressed-slim-fit-jeans/p/469194777_blue,the-indian-garage-co,Mid-Wash Distressed Slim Fit Jeans,4.69E+11,https://assets.ajio.com/medias/sys_master/root/20220518/5i4d/6284d0d0aeb26921af9eb66e/-286Wx359H-469194777-blue-MODEL.jpg,Men,660,"1,999",blue
